职位名称,公司名称,融资情况,教育程度,工作年限,薪资水平,员工人数,创建时间,职位网址
三维动画师 ,数虎图像,已上市,本科,3-5年,10K-15K,100-499人,,https://www.zhipin.com/job_detail/1411597925.html
Camera驱动工程师 ,麦极客图像,天使轮,本科,3-5年,15K-25K,0-20人,,https://www.zhipin.com/job_detail/1411339508.html
U3D ,数虎图像,已上市,本科,3-5年,10K-20K,100-499人,,https://www.zhipin.com/job_detail/1410554762.html
三维/CAD/制图 ,华志图像,不需要融资,中专及以下,1年以内,3K-6K,0-20人,,https://www.zhipin.com/job_detail/1411478260.html
游戏场景 ,数虎图像,已上市,大专,1-3年,6K-12K,100-499人,,https://www.zhipin.com/job_detail/1410771977.html
原画师 ,数虎图像,已上市,本科,3-5年,8K-14K,100-499人,,https://www.zhipin.com/job_detail/1410502069.html
原画师 ,数虎图像,已上市,本科,5-10年,10K-15K,100-499人,,https://www.zhipin.com/job_detail/1407128150.html
项目管理 ,麦极客图像,天使轮,大专,1-3年,10K-15K,0-20人,,https://www.zhipin.com/job_detail/1411302014.html
资深文案 ,数虎图像,已上市,本科,5-10年,10K-15K,100-499人,,https://www.zhipin.com/job_detail/1407119724.html
商务渠道 ,麦极客图像,天使轮,大专,1-3年,10K-15K,0-20人,,https://www.zhipin.com/job_detail/1411189670.html
高级图像视频算法专家 ,迅雷网络,已上市,硕士,3-5年,20K-35K,1000-9999人,,https://www.zhipin.com/job_detail/1411549801.html
视频/图形开发 ,麦极客图像,天使轮,本科,经验不限,15K-20K,0-20人,,https://www.zhipin.com/job_detail/1407387500.html
图像算法工程师 ,紫薇帝星,,硕士,1-3年,12K-18K,,,https://www.zhipin.com/job_detail/1411589784.html
图像处理工程师 ,茁壮网络,D轮及以上,硕士,3-5年,10K-20K,500-999人,,https://www.zhipin.com/job_detail/1411532808.html
视觉设计师 ,数虎图像,已上市,本科,3-5年,12K-15K,100-499人,,https://www.zhipin.com/job_detail/1407119633.html
三维动画师 ,数虎图像,已上市,本科,3-5年,10K-15K,100-499人,,https://www.zhipin.com/job_detail/1411597925.html
Camera驱动工程师 ,麦极客图像,天使轮,本科,3-5年,15K-25K,0-20人,,https://www.zhipin.com/job_detail/1411339508.html
U3D ,数虎图像,已上市,本科,3-5年,10K-20K,100-499人,,https://www.zhipin.com/job_detail/1410554762.html
三维/CAD/制图 ,华志图像,不需要融资,中专及以下,1年以内,3K-6K,0-20人,,https://www.zhipin.com/job_detail/1411478260.html
游戏场景 ,数虎图像,已上市,大专,1-3年,6K-12K,100-499人,,https://www.zhipin.com/job_detail/1410771977.html
原画师 ,数虎图像,已上市,本科,3-5年,8K-14K,100-499人,,https://www.zhipin.com/job_detail/1410502069.html
原画师 ,数虎图像,已上市,本科,5-10年,10K-15K,100-499人,,https://www.zhipin.com/job_detail/1407128150.html
项目管理 ,麦极客图像,天使轮,大专,1-3年,10K-15K,0-20人,,https://www.zhipin.com/job_detail/1411302014.html
资深文案 ,数虎图像,已上市,本科,5-10年,10K-15K,100-499人,,https://www.zhipin.com/job_detail/1407119724.html
商务渠道 ,麦极客图像,天使轮,大专,1-3年,10K-15K,0-20人,,https://www.zhipin.com/job_detail/1411189670.html
高级图像视频算法专家 ,迅雷网络,已上市,硕士,3-5年,20K-35K,1000-9999人,,https://www.zhipin.com/job_detail/1411549801.html
视频/图形开发 ,麦极客图像,天使轮,本科,经验不限,15K-20K,0-20人,,https://www.zhipin.com/job_detail/1407387500.html
图像算法工程师 ,紫薇帝星,,硕士,1-3年,12K-18K,,,https://www.zhipin.com/job_detail/1411589784.html
图像处理工程师 ,茁壮网络,D轮及以上,硕士,3-5年,10K-20K,500-999人,,https://www.zhipin.com/job_detail/1411532808.html
视觉设计师 ,数虎图像,已上市,本科,3-5年,12K-15K,100-499人,,https://www.zhipin.com/job_detail/1407119633.html
图像算法 ,苏州精创,,本科,3-5年,10K-20K,,,https://www.zhipin.com/job_detail/1411408053.html
图像识别算法工程师 ,微光视界,未融资,硕士,1-3年,10K-20K,0-20人,,https://www.zhipin.com/job_detail/1411475380.html
视频后期制作 ,数虎图像,已上市,大专,1-3年,7K-14K,100-499人,,https://www.zhipin.com/job_detail/1401589579.html
图像算法工程师 ,远光软件,已上市,本科,3-5年,10K-15K,1000-9999人,,https://www.zhipin.com/job_detail/1411488555.html
图像算法高级工程师 ,亚洲视觉,,硕士,3-5年,15K-25K,,,https://www.zhipin.com/job_detail/1411399682.html
图像识别 ,股利科技,不需要融资,硕士,1年以内,10K-20K,20-99人,,https://www.zhipin.com/job_detail/1411267990.html
图像算法 ,股利科技,不需要融资,硕士,1年以内,10K-20K,20-99人,,https://www.zhipin.com/job_detail/1411267976.html
图像识别算法工程师 ,聆感家科技,,本科,经验不限,20K-35K,,,https://www.zhipin.com/job_detail/1411387282.html
图像算法 ,科创数字,未融资,硕士,1-3年,10K-20K,100-499人,,https://www.zhipin.com/job_detail/1411155425.html
图像识别技术专家 ,益投后,天使轮,本科,5-10年,35K-60K,20-99人,,https://www.zhipin.com/job_detail/1411487990.html
舞台美术，多媒体设计师 ,数虎图像,已上市,大专,1-3年,7K-14K,100-499人,,https://www.zhipin.com/job_detail/1401582099.html
图像质量调试 ,软通动力,已上市,本科,经验不限,8K-15K,10000人以上,,https://www.zhipin.com/job_detail/1410943710.html
图像算法工程师 ,信炜科技,不需要融资,本科,3-5年,12K-18K,100-499人,,https://www.zhipin.com/job_detail/1411480988.html
图像算法 ,异方科技,天使轮,本科,经验不限,10K-20K,0-20人,,https://www.zhipin.com/job_detail/1411253375.html
图像测试 ,软通动力,已上市,本科,经验不限,8K-15K,10000人以上,,https://www.zhipin.com/job_detail/1410943662.html
图像质量测试 ,软通动力,已上市,本科,1-3年,8K-12K,10000人以上,,https://www.zhipin.com/job_detail/1410965477.html
图像处理算法优化工程师 ,华汉伟业科技有限公司,,硕士,1-3年,8K-15K,,,https://www.zhipin.com/job_detail/1410595085.html
室内设计 ,数虎图像,已上市,本科,5-10年,15K-20K,100-499人,,https://www.zhipin.com/job_detail/1404886706.html
图像处理 ,中软国际,已上市,大专,5-10年,28K-40K,10000人以上,,https://www.zhipin.com/job_detail/1410758251.html
算法工程师（图形图像方向） ,云智数据,A轮,本科,3-5年,8K-16K,20-99人,,https://www.zhipin.com/job_detail/1411148037.html
人工智能工程师-图像处理 ,小牛资本集团,未融资,硕士,3-5年,20K-40K,10000人以上,,https://www.zhipin.com/job_detail/1410989157.html
图像视屏软件开发工程师 ,珠海习悦,A轮,本科,经验不限,15K-30K,20-99人,,https://www.zhipin.com/job_detail/1411259363.html
图像识别高级工程师 ,华大基因,D轮及以上,本科,5-10年,20K-35K,1000-9999人,,https://www.zhipin.com/job_detail/1406766443.html
图像算法工程师 ,保千里集团,已上市,本科,3-5年,15K-30K,1000-9999人,,https://www.zhipin.com/job_detail/1407099163.html
机器视觉/图像处理/算法工程师 ,智果门管家,天使轮,大专,经验不限,10K-20K,20-99人,,https://www.zhipin.com/job_detail/1410709678.html
图像识别 ,ai4health,,本科,经验不限,8K-16K,,,https://www.zhipin.com/job_detail/1410555174.html
图像质量测试 ,软通动力,已上市,本科,1-3年,8K-16K,10000人以上,,https://www.zhipin.com/job_detail/1407302108.html
UI/UE设计师 ,麦极客图像,天使轮,本科,3-5年,6K-12K,0-20人,,https://www.zhipin.com/job_detail/1406589254.html
高级图像识别算法工程师 ,尊豪网络,A轮,硕士,3-5年,20K-30K,100-499人,,https://www.zhipin.com/job_detail/1410611157.html
舞美设计 ,数虎图像,已上市,本科,3-5年,10K-15K,100-499人,,https://www.zhipin.com/job_detail/1407131225.html
Unity3D开发工程师 ,麦极客图像,天使轮,本科,3-5年,10K-20K,0-20人,,https://www.zhipin.com/job_detail/1406589207.html
Java服务器主程 ,麦极客图像,天使轮,本科,5-10年,25K-40K,0-20人,,https://www.zhipin.com/job_detail/1406588948.html
Java服务器开发 ,麦极客图像,天使轮,不限,3-5年,20K-25K,0-20人,,https://www.zhipin.com/job_detail/1406588890.html
图像识别算法工程师 ,金蝶软件,已上市,本科,1-3年,10K-20K,1000-9999人,,https://www.zhipin.com/job_detail/1411015655.html
多媒体设计师 ,数虎图像,已上市,本科,1-3年,10K-13K,100-499人,,https://www.zhipin.com/job_detail/1407127849.html
图像算法工程师（深圳） ,美图,已上市,本科,1-3年,14K-28K,1000-9999人,,https://www.zhipin.com/job_detail/1410507489.html
图像处理软件工程师 ,欢雀科技,A轮,硕士,3-5年,15K-20K,100-499人,,https://www.zhipin.com/job_detail/1410786522.html
图像算法工程师 ,亚洲视觉,,本科,3-5年,10K-20K,,,https://www.zhipin.com/job_detail/1410852755.html
旅游演艺策划师 ,数虎图像,已上市,不限,3-5年,10K-13K,100-499人,,https://www.zhipin.com/job_detail/1407130596.html
资深图像算法 ,深圳万兴科技,B轮,本科,5-10年,20K-35K,500-999人,,https://www.zhipin.com/job_detail/1406179116.html
图像算法工程师 ,创客工场,B轮,硕士,1-3年,20K-30K,100-499人,,https://www.zhipin.com/job_detail/1410416821.html
图像算法工程师-研发 ,泰山体育,,硕士,1-3年,10K-20K,,,https://www.zhipin.com/job_detail/1407177889.html
图像算法工程师 ,北京东舟技术有限公司,未融资,本科,3-5年,12K-18K,20-99人,,https://www.zhipin.com/job_detail/1410408567.html
图像算法 ,金蝶,已上市,本科,3-5年,12K-18K,20-99人,,https://www.zhipin.com/job_detail/1411095320.html
图像算法工程师-芯片 ,泰山体育,,硕士,3-5年,15K-30K,,,https://www.zhipin.com/job_detail/1407177958.html
图像识别 ,亿德自动化,,本科,1-3年,5K-10K,,,https://www.zhipin.com/job_detail/1410714162.html
图像识别算法工程师 ,喏喏,不需要融资,本科,1-3年,15K-30K,0-20人,,https://www.zhipin.com/job_detail/1405842514.html
图像识别深度学习算法工程师 ,玩学帮,天使轮,本科,经验不限,15K-30K,20-99人,,https://www.zhipin.com/job_detail/1406843003.html
图形图像工程师 ,云之梦科技,A轮,本科,3-5年,20K-40K,20-99人,,https://www.zhipin.com/job_detail/1406779566.html
图像处理算法工程师 ,金雅拓,未融资,不限,经验不限,20K-40K,500-999人,,https://www.zhipin.com/job_detail/1406482394.html
图像算法工程师 ,找材宝,未融资,大专,1-3年,8K-12K,20-99人,,https://www.zhipin.com/job_detail/1407071878.html
图像识别算法工程师 ,星常态,A轮,本科,1-3年,10K-15K,100-499人,,https://www.zhipin.com/job_detail/1406503923.html
图像识别深度学习工程师 ,深圳百诺国际,,本科,5-10年,20K-40K,,,https://www.zhipin.com/job_detail/1407327547.html
嵌入式研发(图像算法) ,车智佳,天使轮,大专,5-10年,15K-25K,0-20人,,https://www.zhipin.com/job_detail/1404809056.html
高级图像算法研发工程师（深圳） ,腾讯,已上市,硕士,经验不限,15K-25K,10000人以上,,https://www.zhipin.com/job_detail/1407101364.html
机器学习图像识别 ,玩学帮,天使轮,硕士,3-5年,20K-40K,20-99人,,https://www.zhipin.com/job_detail/1410771942.html
图像算法工程师 ,车智佳,天使轮,本科,1-3年,12K-20K,0-20人,,https://www.zhipin.com/job_detail/1400228886.html
图像处理工程师（TV） ,金锐显,已上市,大专,3-5年,10K-20K,1000-9999人,,https://www.zhipin.com/job_detail/1405422350.html
图像算法工程师 ,中电数通科技,未融资,本科,经验不限,10K-20K,100-499人,,https://www.zhipin.com/job_detail/1406404856.html
图像质量工程师 ,量子视觉,B轮,大专,3-5年,15K-25K,20-99人,,https://www.zhipin.com/job_detail/1406258158.html
图像处理实习生 ,坎德拉,未融资,硕士,应届生,6K-12K,20-99人,,https://www.zhipin.com/job_detail/1405997004.html
深圳学习图像算法工程师 ,坎德拉,未融资,硕士,3-5年,20K-40K,20-99人,,https://www.zhipin.com/job_detail/1405996959.html
动漫产品设计师 ,数虎图像,已上市,本科,3-5年,5K-10K,100-499人,,https://www.zhipin.com/job_detail/1405669719.html
衍生产品设计师-儿童类 ,数虎图像,已上市,本科,1-3年,5K-10K,100-499人,,https://www.zhipin.com/job_detail/1405543863.html
图像处理工程师 ,深圳安佳威视,未融资,本科,1-3年,5K-10K,0-20人,,https://www.zhipin.com/job_detail/1407358296.html
图像算法 ,民富集团,未融资,本科,1年以内,13K-20K,100-499人,,https://www.zhipin.com/job_detail/1411306654.html
硬件工程师（图像传感器方向） ,科创数字,未融资,本科,1-3年,15K-20K,100-499人,,https://www.zhipin.com/job_detail/1410663844.html
图像标注 ,中软国际,已上市,大专,1-3年,6K-9K,10000人以上,,https://www.zhipin.com/job_detail/1411114890.html
图像算法专家/算法开发经理 ,泰山体育,,博士,3-5年,20K-40K,,,https://www.zhipin.com/job_detail/1405541467.html
高级图像识别算法工程师 ,0glass,A轮,本科,1-3年,1K-2K,20-99人,,https://www.zhipin.com/job_detail/1400319500.html
图像算法工程师 ,天下同音,,硕士,5-10年,20K-25K,,,https://www.zhipin.com/job_detail/1410613020.html
图像处理与算法工程师 ,ROBO医疗,不需要融资,本科,3-5年,8K-15K,100-499人,,https://www.zhipin.com/job_detail/1400151570.html
深度学习，人工智能，图像语音识别 ,深圳华为,不需要融资,本科,3-5年,25K-50K,10000人以上,,https://www.zhipin.com/job_detail/1410955251.html
图像算法工程师 ,Nearbylink,天使轮,本科,1-3年,12K-20K,20-99人,,https://www.zhipin.com/job_detail/1405962018.html
图像处理 ,正向思维,不需要融资,本科,3-5年,20K-25K,20-99人,,https://www.zhipin.com/job_detail/1411223919.html
图像算法工程师 ,Insta360,B轮,硕士,3-5年,15K-30K,100-499人,,https://www.zhipin.com/job_detail/1401447427.html
资深图像算法软件工程师 ,万兴科技,B轮,硕士,3-5年,30K-40K,500-999人,,https://www.zhipin.com/job_detail/1406985913.html
图像处理算法工程师 ,华大基因,D轮及以上,本科,5-10年,10K-15K,1000-9999人,,https://www.zhipin.com/job_detail/1401423003.html
高级图像处理软件工程师 ,中达瑞和,未融资,本科,3-5年,15K-20K,20-99人,,https://www.zhipin.com/job_detail/1410465517.html
三维重建/立体图像算法工程师 ,泰山体育,,硕士,3-5年,10K-20K,,,https://www.zhipin.com/job_detail/1405541423.html
C++/opengl/图像识别 ,游视秀,B轮,本科,经验不限,12K-20K,20-99人,,https://www.zhipin.com/job_detail/1405691085.html
视觉图像算法工程师 ,蓝胖子机器人,A轮,本科,经验不限,12K-20K,0-20人,,https://www.zhipin.com/job_detail/1405462482.html
图像处理工程师（哎吖网） ,新华云帆,B轮,本科,1-3年,10K-20K,100-499人,,https://www.zhipin.com/job_detail/1401510723.html
图像算法工程师 ,脸萌技术,B轮,本科,3-5年,15K-25K,20-99人,,https://www.zhipin.com/job_detail/1407198085.html
图像处理工程师 ,燕麦科技,不需要融资,本科,1-3年,10K-20K,100-499人,,https://www.zhipin.com/job_detail/1406098113.html
图形图像算法工程师 ,千寻智居,不需要融资,本科,3-5年,20K-30K,20-99人,,https://www.zhipin.com/job_detail/1401715570.html
图像产品经理 ,vivo,不需要融资,本科,3-5年,15K-30K,1000-9999人,,https://www.zhipin.com/job_detail/1406087994.html
效果图设计师 ,深圳市方块数字图,,高中,3-5年,5K-8K,,,https://www.zhipin.com/job_detail/1411267340.html
图像处理算法工程师 ,速腾聚创,B轮,硕士,1-3年,12K-24K,20-99人,,https://www.zhipin.com/job_detail/1405216634.html
图像算法工程师 ,华大基因,D轮及以上,硕士,3-5年,10K-20K,1000-9999人,,https://www.zhipin.com/job_detail/1401607231.html
图像算法工程师 ,物联传感,B轮,硕士,1-3年,18K-25K,1000-9999人,,https://www.zhipin.com/job_detail/1404837857.html
ISP图像调试工程师 ,物联传感,B轮,本科,1-3年,10K-20K,1000-9999人,,https://www.zhipin.com/job_detail/1404837851.html
视频图像处理研发工程师 ,微特,,本科,5-10年,20K-25K,,,https://www.zhipin.com/job_detail/1404900359.html
嵌入式系统图像处理开发工程师 ,SenseTime,B轮,本科,1-3年,9K-18K,500-999人,,https://www.zhipin.com/job_detail/1400348708.html
图像算法工程师 ,cosbeauty,B轮,硕士,1-3年,15K-30K,20-99人,,https://www.zhipin.com/job_detail/1401399819.html
图像算法工程师 ,Insta360,,本科,3-5年,10K-20K,,,https://www.zhipin.com/job_detail/1400268165.html
算法工程师 ,深圳华为,不需要融资,本科,3-5年,25K-50K,10000人以上,,https://www.zhipin.com/job_detail/1411135596.html
硬件 ,中控智慧,不需要融资,本科,3-5年,10K-11K,1000-9999人,,https://www.zhipin.com/job_detail/1411498187.html
售后工程师 ,IPI,,高中,1-3年,5K-7K,,,https://www.zhipin.com/job_detail/1411575796.html
算法工程师 ,百迈技术,A轮,本科,经验不限,10K-20K,0-20人,,https://www.zhipin.com/job_detail/1410823403.html
微信开发 ,瑞莱特云科技,不需要融资,不限,1-3年,6K-12K,100-499人,,https://www.zhipin.com/job_detail/1411504706.html
自然语言处理 ,华为,不需要融资,本科,3-5年,18K-36K,10000人以上,,https://www.zhipin.com/job_detail/1410807449.html
语音/视频/图形开发 ,深圳华为,不需要融资,本科,3-5年,25K-50K,10000人以上,,https://www.zhipin.com/job_detail/1410659996.html
算法工程师 ,路畅科技,已上市,本科,1-3年,15K-25K,1000-9999人,,https://www.zhipin.com/job_detail/1411392025.html
助理 ,缤纷文化,,中专及以下,1年以内,3K-5K,,,https://www.zhipin.com/job_detail/1411622699.html
camera 影像质量调试工程师 ,潜行科技,天使轮,不限,3-5年,15K-20K,0-20人,,https://www.zhipin.com/job_detail/1411607677.html
网络推广 ,创赛平台,,大专,1-3年,4K-8K,,,https://www.zhipin.com/job_detail/1411612232.html
驱动开发 ,文思海辉技术有限公司,已上市,本科,1-3年,15K-22K,10000人以上,,https://www.zhipin.com/job_detail/1411329476.html
C#语言 ,中软国际,已上市,本科,1-3年,9K-18K,10000人以上,,https://www.zhipin.com/job_detail/1411582057.html
U3D开发工程师 ,三只小熊,不需要融资,本科,1-3年,15K-30K,100-499人,,https://www.zhipin.com/job_detail/1411550343.html
webGL开发工程师 ,三维盘酷网络科技,,大专,1-3年,15K-20K,,,https://www.zhipin.com/job_detail/1410584963.html
FPGA开发工程师 ,腾讯,已上市,本科,3-5年,15K-25K,10000人以上,,https://www.zhipin.com/job_detail/1411427254.html
IOS开发工程师 ,旺龙智能,未融资,大专,3-5年,11K-15K,100-499人,,https://www.zhipin.com/job_detail/1411617292.html
Unity3D程序员 ,三维盘酷网络科技,,不限,经验不限,12K-18K,,,https://www.zhipin.com/job_detail/1410702003.html
iOS ,杭州好好开车,B轮,本科,经验不限,20K-40K,100-499人,,https://www.zhipin.com/job_detail/1406207641.html
深圳公司DSP开发大拿 ,杭州好好开车,B轮,本科,经验不限,20K-40K,100-499人,,https://www.zhipin.com/job_detail/1406207621.html
深圳Java开发 ,好好开车,B轮,本科,经验不限,20K-40K,100-499人,,https://www.zhipin.com/job_detail/1406222934.html
深圳公司DSP开发 ,好好开车,B轮,本科,经验不限,20K-40K,100-499人,,https://www.zhipin.com/job_detail/1406207744.html
深圳公司IOS开发 ,好好开车,B轮,本科,经验不限,20K-40K,100-499人,,https://www.zhipin.com/job_detail/1406207692.html
无菌检验员 ,鹏瑞智能,,不限,1-3年,5K-8K,,,https://www.zhipin.com/job_detail/1406322018.html
